aberration	аберрация, отклонение
jumper plug	разъем-перемычка, соединительная вилка
jumper wire	провод-перемычка, навесная перемычка
junction	соединение, стык

[ K ]

K	тысяча (копий и т.д.)
key	клавиша, кнопка; ключ; шпонка
keyboard	клавиатура, кнопочная панель, клавишный пульт
keyway	шпоночная канавка
kick off	подхватывать
kicker roll	отталкивающий ролик
kink	перекручивание; перекручиваться (о проводе, тросе)
kit	комплект, набор
kit parts	детали, составляющие комплект
knife	нож
knife bars	балки ножа
knob	ручка, рукоятка
knurled	имеющий накатку, мелкую насечку

[ L ]

label	этикетка, табличка, шильдик
ladder	лестничная шкала, "лесенка" (на контрольном листе)
lamp	лампа, индикатор
language	язык
large document	большой оригинал (A3)
laser safety	техника безопасности при работе с лазером
latch	запор, защелка; запирать; схема фиксации
late actuation	позднее (с запаздыванием) срабатывание (активизация)
latent image	скрытое изображение
latent patch	скрытое пятно
layer	слой
lead	провод, проводник; передний
lead edge	передняя кромка (край)
lead edge deletion	стирание (засветка) по передней кромке (краю)
leadscrew	регистрация передней кромки
leadscrew pulley	ходовой винт
leak	утечка; утекать, просачиваться
leakage	течь, утечка, просачивание
leg	ножка (машины), ножка (скрепки сшивания)
legal	формат бумаги (USA, 8.5"x14")
legend	условные обозначения
length	длина, расстояние
length guide	направляющая по длине (листа)
lens	объектив, линза
lens adjustment mechanism	механизм настройки объектива
lens and mirror cleaner	очистительная жидкость для оптики
lens carriage	каретка объектива
lens mask	маска (диафрагма) объектива
lens shade	шторки объектива
letter	буква; формат бумаги "letter" (USA, 8.5"x11")
level	уровень, выравнивать
levelling	выравнивание, нивелирование
levelling tool	инструмент для нивелирования
lever	рычаг, ручка
life	срок службы, ресурс
lift	подъем; подъемник, лифт; поднимать(ся)
light	лампа, световая надпись; загораться; легкий; свет, светлый; бледный
light bands	светлые полосы (дефект качества копии)
light bar	световод
light blots	светлые "кляксы", пятна (дефект качества копии)
light blue	светло-голубой
light copy	светлая (бледная) копия
light dusting	светлое напыление
light exposure	экспонирование светом
light intensity	сила (интенсивность) света
light leak	утечка света
light level	уровень света, уровень свечения
light sensitivity	светочувствительность
light shock	световой удар (о фоторецепторе)
light streaks	светлые линии (дефект качества копии)
light-weight paper	бумага малой плотности
limit	предел, граница, допуск
limitation	ограничение
limit condition	предельное состояние
limiter	ограничитель
line	линия, прямая; провод, электропровод
line feed	подача на строку (печатающего устройства)
line filter	линейный фильтр
line fuse	линейный предохранитель
line pairs	линейные пары, пары линий
line up	выравнивать, совмещать
line change	линейный закон изменения (параметра
link	звено, связующее звено, связь, соединение, сцепление; рычаг, перемычка; канал связи; связывать(ся), соединять(ся), сцеплять(ся)
link signal	сигнал наличия
linkage	передача, механическая рычажная связь
link shaft	вал сцепления
lip	(упорный) выступ, фланец, край, закраина
list	список, перечень; вносить в список, составлять список
listing	листинг, распечатка
load	нагрузка, загрузка; нагружать, загружать
loading	нагрузка, загрузка
loading arm	нагрузочный (загрузочный) рычаг
loading bar	планка загрузки
loading paper	загрузка бумаги
lobe	выступ, площадка (кулачка)
locate	помещать, располагать, определять местоположение
locating pin	установочный штифт
location (LOC)	местоположение; ячейка (памяти)
lock	замок, запор, защелка; запирать, блокировать
lock actuator	активатор замка, активатор блокировки
lock collar	запорное кольцо
locking	запирание, блокирование
locking arm cam	кулачок запирающего рычага
locking nut	запорная гайка, контр-гайка
locking screw	запорный (стопорный) винт
locknut	стопорная гайка
lockwasher	упругая шайба
lodge	помещаться; оседать; застревать; обосновываться
log	регистрация, запись; журнал
logic	логика; логический
logic fault	отказ логики
logic reset	очистка логики, возврат логики в исходное состояние
longest	самый длинный
loose	свободный, свободносидящий; сидящий неплотно; разболтанный, незатянутый; неплотный
loosen	ослаблять, отпускать
loosen nut (screw)	ослаблять гайку (винт)
loss	потеря, ухудшение
loss of toner	отсутствие тонера (на копии)
lost	потерянный, утраченный, пропавший; напрасный, тщетный; неиспользованный, пропущенный
low	низкий, низкоуровневый (о сигнале)
low freguency noise	низкочастотный шум (помехи)
low paper	малый остаток бумаги, "Мало бумаги"
low signal	сигнал низкого уровня
low toner	малый остаток тонера, "Мало тонера"
low voltage DC	низкое напряжение постоянного тока
low voltage power supply (LVPS)	блок питания низкого напряжения, низковольтный источник питания
lower limit	нижний предел
lubricant	смазка
lubricant tube	трубка смазки
lubricate (LU)	смазывать
lug	выступ, прилив, бобышка

[ M ]

machine	машина, копировальный аппарат
magenta	пурпурный (colour copiers)
magnet	магнит
magnetic brush	магнитная кисть, магнитная щетка
magnetic brush cleaning	очистка магнитной кистью
magnetic brush development	проявление магнитной кистью
magnetic catch	магнитный замок
magnetic pickup	измерение магнитного поля
magnetic pickup tool	прибор для измерения магнитного поля
magnetic strip	магнитная лента
magnetic switch	(электро)магнитный переключатель
magnification	увеличение
magnification control	управление увеличением
magnification correction factor	коэффициент коррекции (поправки) увеличения
maintain	поддерживать, сохранять
maintenance	техническое обслуживание
making multiple copies	многократное изготовление копий, тиражирование
making single copies	изготовление одиночных копий
maladjustment	нарушение регулировки, "разрегулировка "
malalignment	нарушение выравнивания, нарушение центровки
male connector	вилка разъема, "папа"
malfunction	неисправность, отказ; аварийный режим
manifold	трубопровод, коллектор, сборник
manipulate	манипулировать, управлять
manual	руководство; ручной (о режиме)
manually	вручную
manual platen	ручная укладка оригинала на стекло
manufactory	производство, изготовление
margin	поле (у края листа)
margin shift	сдвиг края (изображения)
marginal fusing	предельные условия закрепления
mark	метка, маркировка; помечать
marking	метка, отметка; маркировка, маркирование, маркировочная надпись
mask	маска (диафрагма) объектива
master	основной, ведущий
master memory board (MMB)	печатная плата основной памяти
master PWB	ведущая печатная плата
match	согласование, приведение в соответствие; подгонка; согласовывать, приводить в соответствие; подгонять
mate	сопряженная деталь; парная деталь; подгонять; сопрягать, соединять; зацепляться (о зубчатых колесах)
mating	стыковка (модулей), сопряжение (поверхностей, деталей)
matrix	матрица
matted	залоснившийся (например, ремень)
maximum up position	крайнее верхнее положение
measurement	измерение, замер; показание
mechanical adjustment	механическая регулировка
mechanical binding	механическая связь, сцепление
mechanism	механизм
media	материал для копирования
memory	память, запоминающее устройство
memory device	запоминающее устройство
memory location	ячейка памяти
mesh	зацепление; зацепляться, вводить в зацепление
message	сообщение (на дисплее)
metal filings	металлическая стружка (от срабатывания металлических деталей в машине)
meter	счетчик; контрольно-измерительный прибор
meter probe	пробник (шуп) измерительного прибора
meter reading	показание измерительного прибора
metering tray	мерительный лоток
microcontroller	микроконтроллер
microprocessor	микропроцессор
microswitch	микровыключатель
midpoint	средняя точка, срединная точка
mirror	зеркало
misadjusted component	неправильно отрегулированный элемент, разрегулировавшийся элемент
misadjustment	неправильная регулировка, разрегулировка
misalignment	нарушение выравнивания, нарушение центровки
miscounting	неправильный счет, пропуск счета
misfeed	пропуск подачи
missmatch	несоответствие
misregistration	неправильная регистрация
miss	отсутствовать, недоставать
missorting	неправильная сортировка, пропуск сортировки
misstrip	пропуск отделения (листа)
mistracking	нарушение ориентации (фоторецептора)
misunderstanding	непонимание
mobility	мобильность; подвижность
mode	режим
mode of operation	режим работы
mode selection	выбор (задание) режима
modification (MOD)	модификация
modify	модифицировать
module	модуль, узел
moisture	влажность, сырость, влага
moisture content	влагосодержание
momentarly	на мгновение, кратковременно
monitor	контролировать, следить; средство контроля
monitoring	контроль, слежение
motor (MOT)	электродвигатель
mottle	рябина, пятно (дефект качества копии)
mount	монтажная площадка (узел); монтировать
mounting	установка, монтаж, сборка; установка, агрегат; сборочная единица, узел, блок; монтажная схема, схема соединений
move	перемещать(ся), смещать(ся)
moveable	подвижный
movement	движение, перемещение
move out of alignment	смещать от выровненного положения
move past	перемещаться мимо
move to the left (right)	смещаться влево (вправо)
muffler	глушитель, заслонка
multifeed	подача неодинарного листа
multimeter	универсальный контрольно-измерительный прибор
multiple	кратный; многократный, множественный; составной, сложный
multipurpose lamp	многоцелевая (универсальная) лампа
multipurpose paper	универсальная бумага
mylar	майлар (искусственная пленка)
mylar strip	майларовая лента (пластина, рейка)

[ N ]

name of the part	название детали
narrow	узкий
needle nose pliers	остроносые плоскогубцы
negative	отрицательный, негативный
net	сеть, схема
neutral	нейтраль, нейтральный провод; нейтральный
neutral density filter	нейтральный по плотности светофильтр
nip	зажатие, прижатие, зажим, точка зажатия
nip forse	усилие прижатия
nip gear	механизм зажатия, прижимной механизм
nip roll	прижимной ролик
nipple	ниппель, шнур
no change	без изменений
noise	шум, помехи
noise filter	фильтр помех
noise suppressor	устройство подавления (подавитель) помех
nomenclature	номенклатура; система условных обозначений; спецификация
nominal	номинал; номинальный
nominal supply voltage	номинальное напряжение питания
non-fusing	нет закрепления (копий)
non-image area	область без изображения
non-volatile memory (NVM)	память с сохранением информации, устойчивая память, память NVM
notch	прорезь, вырез, метка; деление
note	примечание
notify	извещать, уведомлять; объявлять
not used	не используется
nudger	подталкиватель, подталкивающий
number	номер, число, цифра
numbering	нумерация
numeral	цифровой
numerical	численный, цифровой
nut	гайка
nut wrench	гаечный ключ
nut plate	пластина (плита) с резьбой
NVM location	ячейка памяти NVM
NVM value	значение в памяти NVM

[ O ]

objective	цель
observe	наблюдать; соблюдать (правила)
obstruction	преграда, постороннее тело, засорение
occur	происходить, иметь место
occurrence	событие; случай; появление; осуществление события; наличие, присутствие; распространение
odd number	нечетное число, нечетный номер
odd number pages	страницы с нечетными номерами
OFF	выключено
offer	предлагать
off-line	автономный
offset	смещение (изображения, лотка), сдвиг
offset paper	офсетная бумага
offsetting	смещение
offsetting catch tray (ОСТ)	смещающийся улавливающий лоток, лоток ОСТ
ohmmeter	омметр
oil	масло, смазка; смазывать
oiler	масленка
omission	пропуск, пробел
ON	включено
one quater turn fastener	винт на одну четверть оборота
on-line	подключенный
one-sided	односторонний
one-way clutch	одноходовая муфта
one-way roller	однонаправленный ролик
opaque	непрозрачный, непросвечивающий
open	открытый, разомкнутый; открывать, размыкать
open circuit	разомкнутая цепь (эл.)
open clinch	неполное загибание (скрепки) (дефект сшивания)
open contacts	разомкнутые контакты
open loop	незамкнутая цепь (контур), блокированная цепь, разомкнутый цикл (управления)
open thermistor	разомкнутый термистор
open wire	разомкнутый провод
operate	работать, срабатывать (чем-л.), эксплуатировать
operating	рабочий
operating mode	рабочий режим
operation	работа, срабатывание, эксплуатация
operational fault	эксплуатационная неисправность, отказ
operational sequence diagram (OSD)	диаграмма последовательности рабочих операций
operator	оператор (машины)
Operator Manual	руководство для оператора
operator procedure	процедура, выполняемая оператором
optical image	оптическое изображение
optics	оптика, оптическая система
optics assembly	узел оптики
optics gearbox	редуктор оптики
optics module	модуль оптики
optimise	оптимизировать
optimum exposure lamp	оптимальная светоотдача лампы экспонирования
optional	опционный, дополнительный
options	опции, дополнительные возможности машины
orange (ORN)	оранжевый
order	порядок, упорядоченность, последовательность
ordered	упорядоченный
orient	ориентировать
orientation	ориентировка, ориентация
orifice	отверстие
original	оригинал
original value	первоначальное значение
0-ring	0-образное кольцо, клипса
otherwise	иначе; в противном случае
outboard	внешний, наружный
outlet	штепсельная розетка, выходное отверстие, выход, выпуск
out of adjustment	нарушена регулировка
out of toner	состояние отсутствия тонера
output	мощность; выход, вывод; выходной сигнал
output tray	выходной лоток
overall grey copy	полностью серая копия (с однородным высоким фоном)
over-exposure	переэкспонирование
overflow	переток, переполнение
overhang	свешиваться, нависать
overheat	перегрев
overheating	перегрев
overload	перегрузка
overshot	перебег, заскакивание (за установленное положение, значение)
oversize	превышение размера; увеличенный размер; превышать номинальный размер
overtemperature thermostat	термостат перегрева
over-tighten	перезатягивать, затягивать слишком туго
overtoned	перетонированный
overtoning	перетонирование
overtravel	перебег, переход за установленное положение
overwiev	обзор
oxidize	окислять(ся)
ozone	озон
ozone blower	озонный вентилятор
ozone filter	озонный фильтр

[ P ]

package	набор, комплект
packing material	упаковочный материал
packing tape	упаковочная клейкая лента
pad	подушка, подкладка, прокладка; площадка
paddle	лопасть, лопатка
page	страница
page count	счет страниц
paint	краска, красящий пигмент; красить
pan	поддон, корыто, лоток
panel	панель
paper	бумага
paper buckle	шлейф (коробление) бумаги
paper self-strip	самоотделение бумаги (на остром изгибе фоторецептора)
paper size	формат бумаги
paper size link	перемычка, определяющая размер бумаги
paper stock	запас бумаги
paper tray	лоток для бумаги
paper weight	плотность (вес) бумаги
paper wrinkle	складка на бумаге
parallax	параллакс
parallelism	параллельность
parallelogram effect	эффект "параллелограмма" (при неправильном выравнивании каретки сканирования)
parameter	параметр, характеристика
part	деталь, часть
part number	номер по каталогу, номер (запасной) части
partial copy	копирование фрагментов
partially fed paper	частично поданная бумага
parts list	перечень запасных частей
pass	проход; проходить; пропускать
patch	пятно
patch reading	считывание пятна
patch reference	эталонное (сравнительное) пятно
patch zone	зона пятна
path	путь, траектория
pattern	рисунок, схема; контрольный лист
pawl	собачка, защелка
peak voltage	пиковое напряжение
pencilled document	оригинал, выполненный карандашом
penetrate	проникать(ся), пронизывать, пропитывать(ся)
penetration area	область (зона) проникновения
percent image size	размер изображения в процентах
perforation	перфорация
performance	работа, рабочие характеристики
perimeter	периметр
periodic maintenance	периодическое техническое обслуживание
periphery	периферия, окружность
permanent installation	постоянная настройка, установка
permanent storage	постоянная память, запоминающее устройство с сохранением информации при выключении питания
perpendicularity	перпендикулярность
personal code	персональный код (пользователя)
phase	фаза
phase shift	фазовый сдвиг, сдвиг по фазе
photocell	фотоэлемент
photoconductive material	фотопроводящий материал
photodiode	фотодиод
photograph	фотография, фотоснимок
photoreceptor	фоторецептор
photoreceptor bearing	подшипник (опора) фоторецептора
photoreceptor crystallization	кристаллизация (поверхности) фоторецептора
photoreceptor dust cover	противопылевая крышка фоторецептора
photoreceptor fatigue	усталость (поверхностного слоя) фоторецептора
photoreceptor ground	заземление фоторецептора
photoreceptor ground brush	щетка заземления фоторецептора
photoreceptor ground plane	полоска заземления на фоторецепторе
photoreceptor life	долговечность (ресурс) фоторецептора
photoreceptor mistracking	неправильная ориентация фоторецептора
photoreceptor module	модуль фоторецептора
photoreceptor shaft	вал фоторецептора
photoreceptor wash	материал для промывки фоторецептора
photosensitive	фоточувствительный
phototransistor	фототранзистор
physical	физический
pin	шпилька, штифт, палец; контакт
pinch	сдавливание, сжатие; сужение; защемление; сдавливать, сжимать, пережимать; защемлять
pinched	сжатый; прищемленный; истощенный
pinch roll	прижимной ролик
pitting	точечная коррозия; образование оспин (раковин)
pivot	шарнир, ось вращения; вращаться, вертеться; устанавливать на оси; поворотный
pivot (on, upon, about)	вращаться вокруг
pivot arm	шарнирный рычаг
pivot frame assembly	узел поворотной (шарнирно поворачиваемой) рамы
pivot rod	поворотный рычаг, стержень
pivot shaft	поворотный вал, ось шарнира
Parts List (PL)	перечень запасных частей
place	место, положение; помещать, положить, устанавливать
plane	плоскость, плоская поверхность
plastic	пластмасса, пластик; пластмассовый, пластиковый; пластический, пластичный
plastic cable	пластичный (гибкий) тросик
plastic shim	пластмассовая прокладка
plate	плита, пластина, табличка
platen glass	стекло оригинала
play	зазор, люфт
PLEASE WAIT	Просьба подождать (сообщение)
pliers	клещи, кусачки, плоскогубцы
plug	пробка, заглушка; штепсельная вилка, штырек
plug pin	штырек разъема
plunger	плунжер; (стопорный) штифт
РМ (preventive maintenance)	профилактическое техническое обслуживание
pocket	карман, отсек
point	точка, место; момент
point to	указывать, показывать
pointer	стрелка, указатель
pointing	заострение
polarity	полярность
polish	полировочный материал; полировать
pollling	запрос, опрос
poor connection	плохое соединение
poor electrical connection	плохое электрическое соединение
poor fused copy	плохо закрепленная копия
popping noise	потрескивающий шум (при вспышках лампы экспонирования)
position	(рас)положение, размещение; местоположение; определять положение; располагать, поместить(ся)
positioning	регулировка положения; установка на место; корректировка; направляющий, устанавливающий, корректирующий
positioning bar	регулирующая (направляющая) балка, планка
positioning the lens	регулировка положения объектива; расположение объектива
positioning the platten glass	регулировка положения стекла оригинала; расположение стекла оригинала
positive lead	положительный провод (эл.)
positive skew	положительный перекос
post	после
post fuser	после фьюзера
potential	потенциал, напряжение
potential fault	возможная неисправность
potentiometer	потенциометр
potentiometer adjustment	регулировка посредством потенциометра
pound	фунт (0,4536 кг)
pour	засыпать, заливать
power	мощность, энергия, питание
power connector	разъем подсоединения питания
power cord	сетевой шнур, кабель электрического питания
power saving mode	режим экономии энергии
power source	источник питания
power supply (PS)	блок питания, напряжение питания
рге	до (чего-либо)
precede	предшествовать
precharge	предварительная зарядка
precharge erase light bar	световод засветки перед зарядкой
precharge light	свет предзаряда
preclean	предварительная очистка, предочистка
prefeed	предварительная подача
prefold	предварительная фальцовка, предфальцовочный
prefuser	до фьюзера
preheat	предварительный нагрев
рге-installation	предустановка
premature component failure	преждевременный отказ элемента
premature failure	преждевременный отказ (выход из строя, разрушение)
preparation	подготовка
prepunched paper	перфорированная бумага
preregistration	предварительная регистрация
present	присутствующий
preset parameter	заданный параметр
preset reduction	заданное уменьшение
press	нажимать
press out	отжать
pressure	давление, прижим
pre-transfer	предварительный перенос
pretransfer light bar	световод предпереноса
prevent	предотвращать, мешать, препятствовать
preventive	профилактический; профилактическое средство
preventive maintenance	профилактическое техническое обслуживание
Preventive Maintenance Table	таблица профилактического технического обслуживания
print	копия; печать
print cycle	цикл печати
printed circuit board (PCB)	печатная плата, плата с печатной схемой
printed upon	напечатанный (на); тисненый
printed wired board (PWB)	печатная плата, PWB
printer	принтер, печатающее устройство
priority	приоритет, первоочередность
probe	пробник, щуп
probe holder	держатель пробника
probe tip	наконечник (кончик) пробника
problem	проблема, неисправность
problem solving	решение проблем(ы)
procedure	процедура
proceed	поступать, действовать; продолжать
proceed to	переходить (к чему-л.), (про)следовать
process	процесс
process control	управление процессом
processing	обработка
processor	процессор
product	изделие
product overview module	раздел (курса обучения) "Обзор изделия"
profile	профиль
program(me)	программа; программировать, задавать, составлять программу; записывать информацию в ППЗУ; задавать
program access button	кнопка "Доступ к программе"
program entry	ввод программы
program error	ошибка программы, программная ошибка
programmable memory	программируемое запоминающее устройство
programming	программирование, задание программы; часто - задание количества копий
programmable read-only memory (PROM)	программируемое постоянное запоминающее устройство, ППЗУ
projection	проецирование; выступание
prong	штырь, штырек
proper	собственный; надлежащий, должный, соответствующий, подходящий
properly	должным образом, правильно; подходящим образом; собственно, строго говоря
protection	защита
protection circuit	схема (цепь) защиты
protective tape	защитная лента
provide	содержать, обеспечивать; предусматривать
pull	тянуть, тащить, натягивать
pull on	натягивать
pull out	вытащить, вынуть; вытаскивать; вытягивать, выдвигать
pulley	шкив, барабан, ролик
pulling	натяжение, растяжение; вытаскивание, выдергивание
pulse	импульс
pulse transformer	импульсный трансформатор
pump	помпа, насос; подавать, нагнетать
punched hole	пробитое, перфорированное отверстие
purge	удалять, ссыпать; очищать, продувать
purpose	назначение, цель
pursuant (to)	согласно (чему-л.)
push	толчок, столкновение, удар; кнопка; нажимать, толкать; нажимной
push down	нажимать вниз, прижимать; надавить (на что-л.)
pusher	толкатель; толкающий
push rod	нажимной стержень
push up smth	поднимать что-л.
pushbutton	нажимная кнопка
PWB reset	установка печатной платы в исходное состояние

[ Q ]

qualified	компетентный, увалифицированный; подходящий, пригодный
quantity display	индикатор количества (копий)
quantity selector	селектор количества (копий)
quartz lamp heater	кварцевый ламповый нагреватель
quick release button	кнопка быстрого освобождения (на электродвигателе)

[ R ]

rack	зубчатая рейка
radial	радиальный
radial rid	радиальное ребро
radius	радиус
rail	рельсовая направляющая, рельса
raise	поднимать
raised position	(при)поднятое положение
raising the elevator	подъем элеватора
ramp	уклон, скос
random	произвольный, неупорядоченный
random access memory (RAM)	память с произвольной выборкой (с произвольным доступом), оперативная память
random jams	произвольные (случайные) застревания
random noise	произвольный шум, помехи
range	диапазон, амплитуда
range of values	диапазон значений
repair analysis procedure (RAP)	аналитическая процедура поиска и устранения неисправностей
ratchet	храповик, трещотка
rate	уровень; скорость, частота
read only memory, ROM	постоянная память (ROM), постоянное запоминающее устройство
reading	считывание; показание (прибора)
re-adjust	повторно регулировать
ready	готовность
ready mode	режим готовности
ream	стопка, пачка (бумаги)
rear	задняя сторона
rear cover	задняя крышка
rear edge registration guide	направляющая регистрации задней кромки
rear edge zone	зона засветки заднего края
rear view	вид сзади
reassembly	повторная сборка, переборка (машины)
recalibration	повторная калибровка, перекалибровка
recall	повторный вызов; вызывать повторно
recirculating document handler, RDH	устройство автоматической подачи оригинала
receiving tray	накопительный лоток
recheck	повторная проверка
recirculating document handler (RDH)	устройство автоматической подачи оригиналов
reconnect	восстанавливать соединение
record of faults	регистрация неисправностей (сбоев, отказов)
recovery	восстановление, возврат
rectangular cutouts	прямоугольные вырезы
rectifier	выпрямитель
recurring problem	повторяющаяся проблема
red	красный
reduced	уменьшенный
recycled paper	бумага, допускающая вторичную переработку
reduction	уменьшение
reduction value	значение уменьшения
refer to	отсылать; ссылаться; делать ссылку; направлять
reference	давать ссылку; исходное положение; опорный сигнал; эталон; указатель; ссылка
reference copy	эталонная (сравнительная) копия
reference patch	эталонное пятно
reference point	точка отсчета
reference voltage	эталонное напряжение
reflectance	коэффициент отражения, отражательная способность
reflectance ratio	коэффициент (степень) отражения
reflected illumination	отраженное освещение
reflective surface	отражающая поверхность
reflector	рефлектор, отражатель
refurbish	восстанавливать, ремонтировать
register	регистр; регистрировать; записывать
registration	регистрация
regulation	регулирование, регулировка
regulator	стабилизатор, регулятор
regulator PWB	печатная плата стабилизатора
re-install	вновь устанавливать
reissue	переиздание; переиздавать
related	связанный
relative humidity	относительная влажность
relay	реле
relationship	зависимость, связь, отношение
relative to	относительно, по отношению к, по сравнению с
release latch	замок расцепления
release the spring force	снять усилие пружины
reliable	надежный (в работе или эксплуатации)
reliability	надежность, безотказность
reliably	надежно
remote	дистанционный
removal	снятие, удаление, демонтаж
removal checklist	контрольный лист (операция) снятия (демонтажа)
remove from	снимать, удалять, демонтировать
reorder	восстанавливать порядок (напр., оригиналов)
repair	ремонт; ремонтировать
repair kit	комплект для ремонта
repair procedure	процедура ремонта
repeat	повторять
repeatedly	неоднократно, часто; повторно
repeat interval	интервал повторяемости (дефекта)
repeated jams	повторные (повторяющиеся) застревания
repetition	повторение
rephaser	перефазировщик
rephasing	перефазировка
replace	устанавливать на место, заменять
replace by (with) smth	заменять чем-л.
replacement	установка на место, замена
replacement part	деталь, устанавливаемая взамен старой
report	отчет
reposition	установка на место; поставить на место
representative value	характерное (типичное) значение
reproduction	воспроизведение
rescan clutch	муфта обратного сканирования
rescan mode	режим обратного (возвратного) сканирования
reseat	притирать, повторно сажать
reservoir	резервуар, бачок, контейнер
reservoir assembly	узел резервуара
reset	перестройка, сброс, отмена; установка в исходное состояние, установка в
reset copier	возврат машины в исходное состояние
reside	находиться (где-л.)
residual	остаточный
residual image	остаточное изображение
residual toner image on photoreceptor	остаточное тонерное изображение на фоторецепторе
resistance	сопротивление (эл.)
resistance measurement	измерение электрического сопротивления
resistor	резистор, сопротивление
resolution	резкость (изображения), разрешающая способность, разрешение
respective	соответственный; связанный (с чем-л.), соответствующий (чему-л.)
respond (to)	реагировать, отзываться (на что-л.)
response (to)	(в) ответ (на)
response time	время реакции (срабатывания)
restart	повторный запуск, рестарт
restoration	восстановление; возврат, возвращение
restore	восстанавливать, возвращать в исходное состояние
restored	восстановленный
restriction	ограничение
restrictor	ограничитель
resulting	возникающий, образующийся, получающийся; результирующий, суммарный
resume	сводка; итог, вывод; возобновлять, продолжать; подводить итог
retainer	стопор, фиксатор
retaining clip	стопорный зажим, фиксатор
retaining plate	стопорная пластина
retaining ring	стопорное кольцо
retard	замедлять(ся), тормозить(ся)
retard brake	тормоз замедления
retard roll	тормозной ролик, ролик торможения
retract	отводить (в сторону, назад)
retraction	отвод назад
retrieve	восстанавливать, возвращать в прежнее состояние
retrieval	восстановление, возвращение в прежнее состояние;
return	возврат; возвращаться
reverse	изменять направление, реверсировать
reverse direction	реверсное направление
reverse drive	реверсный привод
reversible	обратимый; реверсируемый
reversing	реверсирование, изменение направления на обратное; реверсивный, имеющий обратный ход
reversing motor	реверсивный двигатель
revised	измененный
revision	пересмотр (напр., техдокументации)
revolution	поворот, оборот, вращение
RF filter	фильтр радиочастотных помех
ribbon cable	ленточный кабель
ring	кольцо
rock	качание, колебание; качать, колебать
rocker	кулиса; коромысло, балансир; качающаяся рамка, обойма; шатун
rocker assembly	кулисный механизм
rocking	качание, покачивание (относительно продольной горизонтальной оси)
rod	стержень, пруток, тяга
roll	ролик, валик
roll bearing	роликовый подшипник
roller	ролик, валик
rolling	качение; прокатка
read only memory (ROM)	постоянная память, постоянное запоминающее устройство (ПЗУ)
rotary switch	поворотный переключатель
rotate	вращать(ся), поворачивать(ся)
rotation	вращение
round	круглый; круглого сечения
route	прокладывать, проводить (напр., провод, кабель)
routine	программа
row	ряд
rub	приходить в соприкосновение, соприкасаться, задевать
rubber	резина; резиновый
rubber rollers	резиновые ролики
rub on smth.	задевать о (обо) что-л.
rule	линейка; правило
run	работа, прогон, тираж; запускать в работу
run modes	режимы работы
running	работа (прибора, механизма), эксплуатация; рабочий, работающий, действующий, находящийся в эксплуатации, движущийся
running regime	режим работы, режим эксплуатации
running wheel	ходовое колесо
rust	ржавчина

[ S ]

safety	безопасность, защитный
safety standards	требования безопасности
sales	продажи
scale	линейка, шкала
scan	сканирование
scan cable	тросик сканирования
scan carriage	каретка сканирования
scan carriage alignment	выравнивание каретки сканирования
scan rails	рельсовые направляющие (каретки) сканирования
schedule	программа, график
schematic	схематический, схематичный; схема
schematic diagram	принципиальная схема
scratch	царапина, мелкая трещина
screw	винт
screwdriver	отвертка
scribe line	метка, риска
scuffer rolls	ролики механизма подталкивания
scuffing	стирание, полосы и царапины в областях сплошного изображения (дефект качества копии)
seal	уплотнение
seal brush	щетка уплотнения
seat	седло, гнездо; сажать, устанавливать, ставить, подгонять по месту
second feed	вторичная подача
second pass	второй проход (оригиналов в устройстве RDH)
section	раздел
secure	крепить, закреплять; обеспечивать, гарантировать
secure polling	защищенный запрос (fax)
securely	ничего не опасаясь, спокойно, в безопасности; надежно, в надежном месте
segment	сегмент; звено (механизма, цепи); подсистема
seize	заклинивать, заедать
select	выбирать, задавать (режим)
selected	отобранный, выбранный; заданный
selected quantity	заданное количество (копий)
selected paper size	заданный размер бумаги
selection	выбор, задание (режима)
selection mode	выбор (задание) режима
selective	избирательный, свыбирающий; выборочный
selectively	выборочно, по выбору, с выбором
selenium	селен
selenium coating	селеновое покрытие
self-check	самопроверка
self-resetting	самонастраивающийся
self-tensioning idler	самонатягивающийся промежуточный шкив
self-test	самопроверка, самоконтроль
securing screws	закрепляющие винты
semi-automatic document feeder (SADF)	устройство полуавтоматической подачи оригиналов SADF
sensing	восприятие, распознавание, обнаружение
sensor	датчик
sensor actuator	активатор датчика
sensor amplifier	усилитель датчика
sensor signal	сигнал датчика
separation	отделение
separated	разделенный
sequence	последовательность, порядок
sequencing rate	частота последовательности (дисплея ячеек)
serial number	серийный номер (машины)
service	техническое обслуживание; производить обслуживание
service call	вызов для обслуживания (машины), посещение машины
service documentation	документация по техническому обслуживанию
service log	журнал технического обслуживания
Service Manual	руководство по техническому обслуживанию
service representative	обслуживающий инженер, представитель обслуживающей организации
servo belt	ремень сервомеханизма
servo motor	серводвигатель
servo pulley	шкив сервомеханизма
set	комплект, набор; установка, регулирование, настройка, наладка; устанавливать, регулировать, настраивать
set point	заданное значение; установочная точка
set screw	установочный (регулировочный) винт
set separator	разделитель (сепаратор) комплектов
setting	установка, настройка, регулировка
setup	настройка, регулировка, задание
setup procedure	процедура настройки
shade	штриховать
shaded	затушеванный, заштрихованный
shaft	вал, ось
shaft tensioners	натяжные устройства (шкивы) вала
shake	встряхивать, дрожать
sharp tools	острые инструменты
shelf	выступ, закраина, полка
shield electrode	экранный электрод
shield wire	проволока экрана
